workstation_id,zone_classification,base_hourly_rate,ip_address,mac_address,commissioned_date
PC-065,Standard Zone,50.00,10.10.1.65,00:1A:2B:3C:01:41,2025-11-15
PC-066,Standard Zone,50.00,10.10.1.66,00:1A:2B:3C:01:42,2025-11-15
PC-067,Standard Zone,50.00,10.10.1.67,00:1A:2B:3C:01:43,2025-11-15
PC-068,Standard Zone,50.00,10.10.1.68,00:1A:2B:3C:01:44,2025-11-15
PC-069,Standard Zone,50.00,10.10.1.69,00:1A:2B:3C:01:45,2025-11-15
PC-070,Standard Zone,50.00,10.10.1.70,00:1A:2B:3C:01:46,2025-11-15
PC-071,Standard Zone,50.00,10.10.1.71,00:1A:2B:3C:01:47,2025-11-15
PC-072,Standard Zone,50.00,10.10.1.72,00:1A:2B:3C:01:48,2025-11-15
PC-073,Standard Zone,50.00,10.10.1.73,00:1A:2B:3C:01:49,2025-11-15
PC-074,Standard Zone,50.00,10.10.1.74,00:1A:2B:3C:01:4A,2025-11-15
PC-075,Standard Zone,50.00,10.10.1.75,00:1A:2B:3C:01:4B,2025-11-15
PC-076,Standard Zone,50.00,10.10.1.76,00:1A:2B:3C:01:4C,2025-11-15
PC-077,Standard Zone,50.00,10.10.1.77,00:1A:2B:3C:01:4D,2025-11-15
PC-078,Standard Zone,50.00,10.10.1.78,00:1A:2B:3C:01:4E,2025-11-15
PC-079,Standard Zone,50.00,10.10.1.79,00:1A:2B:3C:01:4F,2025-11-15
PC-080,Standard Zone,50.00,10.10.1.80,00:1A:2B:3C:01:50,2025-11-15
PC-081,Standard Zone,50.00,10.10.1.81,00:1A:2B:3C:01:51,2025-11-15
PC-082,Standard Zone,50.00,10.10.1.82,00:1A:2B:3C:01:52,2025-11-15
PC-083,Standard Zone,50.00,10.10.1.83,00:1A:2B:3C:01:53,2025-11-15
PC-084,Standard Zone,50.00,10.10.1.84,00:1A:2B:3C:01:54,2025-11-15
PC-085,Standard Zone,50.00,10.10.1.85,00:1A:2B:3C:01:55,2025-11-15
PC-086,Standard Zone,50.00,10.10.1.86,00:1A:2B:3C:01:56,2025-11-15
PC-087,Standard Zone,50.00,10.10.1.87,00:1A:2B:3C:01:57,2025-11-15
PC-088,Standard Zone,50.00,10.10.1.88,00:1A:2B:3C:01:58,2025-11-15
PC-089,Standard Zone,50.00,10.10.1.89,00:1A:2B:3C:01:59,2025-11-15
PC-090,Standard Zone,50.00,10.10.1.90,00:1A:2B:3C:01:5A,2025-11-15
PC-091,Standard Zone,50.00,10.10.1.91,00:1A:2B:3C:01:5B,2025-11-15
PC-092,Standard Zone,50.00,10.10.1.92,00:1A:2B:3C:01:5C,2025-11-15
PC-093,Standard Zone,50.00,10.10.1.93,00:1A:2B:3C:01:5D,2025-11-15
PC-094,Standard Zone,50.00,10.10.1.94,00:1A:2B:3C:01:5E,2025-11-15
PC-095,Standard Zone,50.00,10.10.1.95,00:1A:2B:3C:01:5F,2025-11-15
PC-096,Standard Zone,50.00,10.10.1.96,00:1A:2B:3C:01:60,2025-11-15
PC-097,Standard Zone,50.00,10.10.1.97,00:1A:2B:3C:01:61,2025-11-15
PC-098,Standard Zone,50.00,10.10.1.98,00:1A:2B:3C:01:62,2025-11-15
PC-099,Standard Zone,50.00,10.10.1.99,00:1A:2B:3C:01:63,2025-11-15
PC-100,Standard Zone,50.00,10.10.1.100,00:1A:2B:3C:01:64,2025-11-15
PC-101,VIP Esports Zone,80.00,10.10.2.1,00:1A:2B:3C:02:01,2025-11-15
PC-102,VIP Esports Zone,80.00,10.10.2.2,00:1A:2B:3C:02:02,2025-11-15
PC-103,VIP Esports Zone,80.00,10.10.2.3,00:1A:2B:3C:02:03,2025-11-15
PC-104,VIP Esports Zone,80.00,10.10.2.4,00:1A:2B:3C:02:04,2025-11-15
PC-105,VIP Esports Zone,80.00,10.10.2.5,00:1A:2B:3C:02:05,2025-11-15
PC-106,VIP Esports Zone,80.00,10.10.2.6,00:1A:2B:3C:02:06,2025-11-15
PC-107,VIP Esports Zone,80.00,10.10.2.7,00:1A:2B:3C:02:07,2025-11-15
PC-108,VIP Esports Zone,80.00,10.10.2.8,00:1A:2B:3C:02:08,2025-11-15
PC-109,VIP Esports Zone,80.00,10.10.2.9,00:1A:2B:3C:02:09,2025-11-15
PC-110,VIP Esports Zone,80.00,10.10.2.10,00:1A:2B:3C:02:0A,2025-11-15
PC-111,VIP Esports Zone,80.00,10.10.2.11,00:1A:2B:3C:02:0B,2025-11-15
PC-112,VIP Esports Zone,80.00,10.10.2.12,00:1A:2B:3C:02:0C,2025-11-15
PC-113,VIP Esports Zone,80.00,10.10.2.13,00:1A:2B:3C:02:0D,2025-11-15
PC-114,VIP Esports Zone,80.00,10.10.2.14,00:1A:2B:3C:02:0E,2025-11-15
PC-115,VIP Esports Zone,80.00,10.10.2.15,00:1A:2B:3C:02:0F,2025-11-15
PC-116,VIP Esports Zone,80.00,10.10.2.16,00:1A:2B:3C:02:10,2025-11-15
PC-117,VIP Esports Zone,80.00,10.10.2.17,00:1A:2B:3C:02:11,2025-11-15
PC-118,VIP Esports Zone,80.00,10.10.2.18,00:1A:2B:3C:02:12,2025-11-15
PC-119,VIP Esports Zone,80.00,10.10.2.19,00:1A:2B:3C:02:13,2025-11-15
PC-120,VIP Esports Zone,80.00,10.10.2.20,00:1A:2B:3C:02:14,2025-11-15
PC-121,VIP Esports Zone,80.00,10.10.2.21,00:1A:2B:3C:02:15,2025-11-15
PC-122,VIP Esports Zone,80.00,10.10.2.22,00:1A:2B:3C:02:16,2025-11-15
PC-123,VIP Esports Zone,80.00,10.10.2.23,00:1A:2B:3C:02:17,2025-11-15
PC-124,VIP Esports Zone,80.00,10.10.2.24,00:1A:2B:3C:02:18,2025-11-15
PC-125,VIP Esports Zone,80.00,10.10.2.25,00:1A:2B:3C:02:19,2025-11-15
PC-126,VIP Esports Zone,80.00,10.10.2.26,00:1A:2B:3C:02:1A,2025-11-15
PC-127,VIP Esports Zone,80.00,10.10.2.27,00:1A:2B:3C:02:1B,2025-11-15
PC-128,VIP Esports Zone,80.00,10.10.2.28,00:1A:2B:3C:02:1C,2025-11-15
PC-129,VIP Esports Zone,80.00,10.10.2.29,00:1A:2B:3C:02:1D,2025-11-15
PC-130,VIP Esports Zone,80.00,10.10.2.30,00:1A:2B:3C:02:1E,2025-11-15
PC-131,VIP Esports Zone,80.00,10.10.2.31,00:1A:2B:3C:02:1F,2025-11-15
PC-132,VIP Esports Zone,80.00,10.10.2.32,00:1A:2B:3C:02:20,2025-11-15
PC-133,VIP Esports Zone,80.00,10.10.2.33,00:1A:2B:3C:02:21,2025-11-15
PC-134,VIP Esports Zone,80.00,10.10.2.34,00:1A:2B:3C:02:22,2025-11-15
PC-135,VIP Esports Zone,80.00,10.10.2.35,00:1A:2B:3C:02:23,2025-11-15
PC-136,VIP Esports Zone,80.00,10.10.2.36,00:1A:2B:3C:02:24,2025-11-15
PC-137,VIP Esports Zone,80.00,10.10.2.37,00:1A:2B:3C:02:25,2025-11-15
PC-138,VIP Esports Zone,80.00,10.10.2.38,00:1A:2B:3C:02:26,2025-11-15
PC-139,VIP Esports Zone,80.00,10.10.2.39,00:1A:2B:3C:02:27,2025-11-15
PC-140,VIP Esports Zone,80.00,10.10.2.40,00:1A:2B:3C:02:28,2025-11-15
PC-141,VIP Esports Zone,80.00,10.10.2.41,00:1A:2B:3C:02:29,2025-11-15
PC-142,VIP Esports Zone,80.00,10.10.2.42,00:1A:2B:3C:02:2A,2025-11-15
PC-143,VIP Esports Zone,80.00,10.10.2.43,00:1A:2B:3C:02:2B,2025-11-15
PC-144,VIP Esports Zone,80.00,10.10.2.44,00:1A:2B:3C:02:2C,2025-11-15
PC-145,VIP Esports Zone,80.00,10.10.2.45,00:1A:2B:3C:02:2D,2025-11-15
PC-146,VIP Esports Zone,80.00,10.10.2.46,00:1A:2B:3C:02:2E,2025-11-15
PC-147,VIP Esports Zone,80.00,10.10.2.47,00:1A:2B:3C:02:2F,2025-11-15
PC-148,VIP Esports Zone,80.00,10.10.2.48,00:1A:2B:3C:02:30,2025-11-15
PC-149,VIP Esports Zone,80.00,10.10.2.49,00:1A:2B:3C:02:31,2025-11-15
PC-150,VIP Esports Zone,80.00,10.10.2.50,00:1A:2B:3C:02:32,2025-11-15
PC-151,Streamer Pods,120.00,10.10.3.1,00:1A:2B:3C:03:01,2025-11-15
PC-152,Streamer Pods,120.00,10.10.3.2,00:1A:2B:3C:03:02,2025-11-15
PC-153,Streamer Pods,120.00,10.10.3.3,00:1A:2B:3C:03:03,2025-11-15
PC-154,Streamer Pods,120.00,10.10.3.4,00:1A:2B:3C:03:04,2025-11-15
PC-155,Streamer Pods,120.00,10.10.3.5,00:1A:2B:3C:03:05,2025-11-15
PC-156,Streamer Pods,120.00,10.10.3.6,00:1A:2B:3C:03:06,2025-11-15
PC-157,Streamer Pods,120.00,10.10.3.7,00:1A:2B:3C:03:07,2025-11-15
PC-158,Streamer Pods,120.00,10.10.3.8,00:1A:2B:3C:03:08,2025-11-15
PC-159,Streamer Pods,120.00,10.10.3.9,00:1A:2B:3C:03:09,2025-11-15
PC-160,Streamer Pods,120.00,10.10.3.10,00:1A:2B:3C:03:0A,2025-11-15
PC-161,Streamer Pods,120.00,10.10.3.11,00:1A:2B:3C:03:0B,2025-11-15
PC-162,Streamer Pods,120.00,10.10.3.12,00:1A:2B:3C:03:0C,2025-11-15
PC-163,Streamer Pods,120.00,10.10.3.13,00:1A:2B:3C:03:0D,2025-11-15
PC-164,Streamer Pods,120.00,10.10.3.14,00:1A:2B:3C:03:0E,2025-11-15
PC-165,Streamer Pods,120.00,10.10.3.15,00:1A:2B:3C:03:0F,2025-11-15
PC-166,Streamer Pods,120.00,10.10.3.16,00:1A:2B:3C:03:10,2025-11-15
PC-167,Streamer Pods,120.00,10.10.3.17,00:1A:2B:3C:03:11,2025-11-15
PC-168,Streamer Pods,120.00,10.10.3.18,00:1A:2B:3C:03:12,2025-11-15
PC-169,Streamer Pods,120.00,10.10.3.19,00:1A:2B:3C:03:13,2025-11-15
PC-170,Streamer Pods,120.00,10.10.3.20,00:1A:2B:3C:03:14,2025-11-15
PC-171,Streamer Pods,120.00,10.10.3.21,00:1A:2B:3C:03:15,2025-11-15
PC-172,Streamer Pods,120.00,10.10.3.22,00:1A:2B:3C:03:16,2025-11-15
PC-173,Streamer Pods,120.00,10.10.3.23,00:1A:2B:3C:03:17,2025-11-15
PC-174,Streamer Pods,120.00,10.10.3.24,00:1A:2B:3C:03:18,2025-11-15
PC-175,Streamer Pods,120.00,10.10.3.25,00:1A:2B:3C:03:19,2025-11-15
